x,y,z,sdf,value,label
0.034822,0.2645,-1.111228,0.142804,0.949176,surface_outer
0.022018,0.209489,-1.136529,0.155885,0.967565,surface_outer
0.011944,0.151763,-1.15632,0.166298,0.982026,surface_outer
0.00482,0.091974,-1.170248,0.173867,0.992322,surface_outer
0.000808,0.030838,-1.178056,0.17846,0.998288,surface_outer
0,0.030889,1.179596,0.18,0.000171,surface_outer
-0.00242,0.092429,1.174827,0.17846,0.003078,surface_outer
-0.008019,0.15301,1.163824,0.173867,0.010381,surface_outer
-0.016676,0.211886,1.146769,0.166298,0.021956,surface_outer
-0.028206,0.268358,1.123947,0.155885,0.037611,surface_outer
-0.042365,0.321797,1.095743,0.142804,0.057083,surface_outer
-0.058865,0.371661,1.06262,0.127279,0.08005,surface_outer
-0.07738,0.417507,1.025116,0.109577,0.106132,surface_outer
-0.097564,0.459003,0.983818,0.09,0.134897,surface_outer
-0.119063,0.495935,0.939353,0.068883,0.165871,surface_outer
-0.141533,0.528207,0.892362,0.046587,0.198546,surface_outer
-0.164648,0.555841,0.843489,0.023495,0.232386,surface_outer
-0.188118,0.578967,0.793353,0,0.266839,surface_outer
-0.211697,0.597813,0.74254,-0.023495,0.301344,surface_inner
-0.235192,0.612696,0.691581,-0.046587,0.335343,surface_inner
-0.258468,0.623996,0.640939,-0.068883,0.368289,surface_inner
-0.281449,0.632146,0.590998,-0.09,0.399655,surface_inner
-0.304122,0.637604,0.542055,-0.109577,0.428944,surface_inner
-0.326525,0.64084,0.494314,-0.127279,0.455697,surface_inner
-0.348746,0.64231,0.447884,-0.142804,0.479503,surface_inner
-0.370912,0.642438,0.402777,-0.155885,0.5,surface_inner
-0.393173,0.641601,0.358918,-0.166298,0.516889,surface_inner
-0.415694,0.640113,0.316148,-0.173867,0.529932,surface_inner
-0.438635,0.638218,0.274236,-0.17846,0.538963,surface_inner
-0.462136,0.636075,0.232893,-0.18,0.543883,surface_inner
-0.486303,0.633763,0.191785,-0.17846,0.544668,surface_inner
-0.511197,0.631275,0.150551,-0.173867,0.541367,surface_inner
-0.536814,0.628528,0.10882,-0.166298,0.5341,surface_inner
-0.563082,0.625366,0.066229,-0.155885,0.523059,surface_inner
-0.589853,0.621575,0.022439,-0.142804,0.5085,surface_inner
-0.616895,0.616895,-0.022845,-0.127279,0.490745,surface_inner
-0.643899,0.611037,-0.069862,-0.109577,0.47017,surface_inner
-0.670476,0.6037,-0.118779,-0.09,0.447201,surface_inner
-0.696171,0.594586,-0.169683,-0.068883,0.422309,surface_inner
-0.720468,0.583424,-0.22257,-0.046587,0.395999,surface_inner
-0.742811,0.569979,-0.277342,-0.023495,0.368802,surface_inner
-0.762613,0.554071,-0.333807,0,0.341265,surface_inner
-0.779282,0.535586,-0.391674,0.023495,0.313945,surface_outer
-0.792237,0.514485,-0.450568,0.046587,0.287395,surface_outer
-0.80093,0.49081,-0.510027,0.068883,0.262156,surface_outer
-0.804865,0.464689,-0.569523,0.09,0.238751,surface_outer
-0.803618,0.436329,-0.628471,0.109577,0.21767,surface_outer
-0.796855,0.406018,-0.686244,0.127279,0.199367,surface_outer
-0.784342,0.374112,-0.742192,0.142804,0.184248,surface_outer
-0.765961,0.341028,-0.795658,0.155885,0.172668,surface_outer
-0.741715,0.307229,-0.846003,0.166298,0.164921,surface_outer
-0.711729,0.273207,-0.892615,0.173867,0.161237,surface_outer
-0.676252,0.239473,-0.934935,0.17846,0.161778,surface_outer
-0.635648,0.206534,-0.972469,0.18,0.166634,surface_outer
-0.590387,0.174881,-1.004802,0.17846,0.175824,surface_outer
-0.541035,0.14497,-1.031614,0.173867,0.189291,surface_outer
-0.488231,0.117214,-1.052684,0.166298,0.206909,surface_outer
-0.432672,0.091967,-1.067898,0.155885,0.228479,surface_outer
-0.375088,0.069518,-1.077254,0.142804,0.253736,surface_outer
-0.316223,0.050085,-1.080858,0.127279,0.282352,surface_outer
-0.25681,0.03381,-1.078919,0.109577,0.313945,surface_outer
-0.197549,0.020763,-1.071748,0.09,0.348079,surface_outer
-0.139087,0.010946,-1.059739,0.068883,0.384276,surface_outer
-0.082002,0.004298,-1.043361,0.046587,0.422024,surface_outer
-0.026783,0.000701,-1.023144,0.023495,0.460784,surface_outer
-0.026177,0,0.999657,0,0.5,surface_outer
-0.076589,-0.002006,0.973495,-0.023495,0.460891,surface_inner
-0.124275,-0.006513,0.945256,-0.046587,0.422452,surface_inner
-0.16916,-0.013313,0.915525,-0.068883,0.385232,surface_inner
-0.211272,-0.022206,0.884857,-0.09,0.349761,surface_inner
-0.25073,-0.033009,0.853755,-0.109577,0.316538,surface_inner
-0.287734,-0.045573,0.822663,-0.127279,0.286025,surface_inner
-0.322542,-0.05978,0.791946,-0.142804,0.258637,surface_inner
-0.35546,-0.075555,0.761886,-0.155885,0.234737,surface_inner
-0.386817,-0.092866,0.732671,-0.166298,0.214627,surface_inner
-0.416945,-0.11172,0.704394,-0.173867,0.198546,surface_inner
-0.446163,-0.13216,0.677053,-0.17846,0.186665,surface_inner
-0.474753,-0.154256,0.65055,-0.18,0.179082,surface_inner
-0.502944,-0.178102,0.624704,-0.17846,0.175824,surface_inner
-0.530902,-0.203794,0.599256,-0.173867,0.176843,surface_inner
-0.558712,-0.231426,0.573882,-0.166298,0.182022,surface_inner
-0.586378,-0.261072,0.548209,-0.155885,0.191169,surface_inner
-0.613812,-0.292773,0.521828,-0.142804,0.204029,surface_inner
-0.64084,-0.326525,0.494314,-0.127279,0.220284,surface_inner
-0.667207,-0.362264,0.465245,-0.109577,0.239556,surface_inner
-0.692581,-0.399862,0.434214,-0.09,0.261421,surface_inner
-0.716569,-0.439114,0.400856,-0.068883,0.285408,surface_inner
-0.738733,-0.479739,0.364855,-0.046587,0.311014,surface_inner
-0.758604,-0.521374,0.325964,-0.023495,0.337708,surface_inner
-0.775701,-0.56358,0.284015,0,0.364943,surface_inner
-0.789558,-0.605849,0.23893,0.023495,0.392162,surface_outer
-0.799732,-0.64761,0.190725,0.046587,0.418813,surface_outer
-0.805832,-0.688245,0.139517,0.068883,0.444354,surface_outer
-0.807531,-0.727104,0.08552,0.09,0.468263,surface_outer
-0.804583,-0.763521,0.029045,0.109577,0.490047,surface_outer
-0.796834,-0.796834,-0.029509,0.127279,0.509255,surface_outer
-0.784229,-0.826405,-0.089663,0.142804,0.525478,surface_outer
-0.766821,-0.851641,-0.150873,0.155885,0.538361,surface_outer
-0.744767,-0.87201,-0.212541,0.166298,0.547609,surface_outer
-0.718327,-0.88706,-0.274034,0.173867,0.552991,surface_outer
-0.687858,-0.896434,-0.334701,0.17846,0.554344,surface_outer
-0.653804,-0.899883,-0.393892,0.18,0.551576,surface_outer
-0.616678,-0.897272,-0.450977,0.17846,0.544668,surface_outer
-0.577053,-0.888584,-0.505363,0.173867,0.533673,surface_outer
-0.535542,-0.873925,-0.556509,0.166298,0.518719,surface_outer
-0.492777,-0.853514,-0.603948,0.155885,0.5,surface_outer
-0.449395,-0.827683,-0.647291,0.142804,0.47778,surface_outer
-0.406018,-0.796855,-0.686244,0.127279,0.452384,surface_outer
-0.363235,-0.761537,-0.720613,0.109577,0.424195,surface_outer
-0.32159,-0.722302,-0.750306,0.09,0.393643,surface_outer
-0.281567,-0.679763,-0.77534,0.068883,0.361206,surface_outer
-0.243584,-0.634559,-0.795831,0.046587,0.327391,surface_outer
-0.207983,-0.587326,-0.811993,0.023495,0.292737,surface_outer
-0.175029,-0.538684,-0.824126,0,0.257795,surface_outer
-0.144911,-0.489212,-0.832608,-0.023495,0.223127,surface_inner
-0.117744,-0.439428,-0.837875,-0.046587,0.189291,surface_inner
-0.093578,-0.389781,-0.840412,-0.068883,0.156834,surface_inner
-0.072404,-0.340632,-0.84073,-0.09,0.126283,surface_inner
-0.054166,-0.292252,-0.83935,-0.109577,0.098133,surface_inner
-0.038775,-0.244814,-0.836782,-0.127279,0.072843,surface_inner
-0.026119,-0.198397,-0.833512,-0.142804,0.050824,surface_inner
-0.016079,-0.152985,-0.829981,-0.155885,0.032435,surface_inner
-0.008538,-0.108484,-0.826569,-0.166298,0.017974,surface_inner
-0.003392,-0.064729,-0.823587,-0.173867,0.007678,surface_inner
-0.000563,-0.021498,-0.821258,-0.17846,0.001712,surface_inner
0,-0.021465,0.819719,-0.18,0.999829,surface_inner
0.001687,-0.064435,0.819007,-0.17846,0.996922,surface_inner
0.005643,-0.107684,0.819066,-0.173867,0.989619,surface_inner
0.01192,-0.151462,0.819741,-0.166298,0.978044,surface_inner
0.020598,-0.195975,0.820792,-0.155885,0.962389,surface_inner
0.031778,-0.241374,0.821897,-0.142804,0.942917,surface_inner
0.045573,-0.287734,0.822663,-0.127279,0.91995,surface_inner
0.062097,-0.335044,0.822644,-0.109577,0.893868,surface_inner
0.081453,-0.383204,0.821353,-0.09,0.865103,surface_inner
0.103718,-0.432015,0.818282,-0.068883,0.834129,surface_inner
0.128932,-0.481182,0.812918,-0.046587,0.801454,surface_inner
0.157089,-0.530322,0.804764,-0.023495,0.767614,surface_inner
0.188118,-0.578967,0.793353,0,0.733161,surface_inner
0.221884,-0.62658,0.778271,0.023495,0.698656,surface_outer
0.258177,-0.672573,0.759168,0.046587,0.664657,surface_outer
0.29671,-0.716321,0.735771,0.068883,0.631711,surface_outer
0.337121,-0.757185,0.707898,0.09,0.600345,surface_outer
0.378973,-0.794534,0.675468,0.109577,0.571056,surface_outer
0.421766,-0.827763,0.638498,0.127279,0.544303,surface_outer
0.464944,-0.85632,0.597113,0.142804,0.520497,surface_outer
0.507906,-0.879718,0.55154,0.155885,0.5,surface_outer
0.550026,-0.89756,0.502104,0.166298,0.483111,surface_outer
0.590667,-0.909548,0.449219,0.173867,0.470068,surface_outer
0.629201,-0.915493,0.393378,0.17846,0.461037,surface_outer
0.665025,-0.915328,0.335138,0.18,0.456117,surface_outer
0.697579,-0.909103,0.275106,0.17846,0.455332,surface_outer
0.726368,-0.89699,0.21392,0.173867,0.458633,surface_outer
0.75097,-0.879273,0.152232,0.166298,0.4659,surface_outer
0.771053,-0.856342,0.09069,0.155885,0.476941,surface_outer
0.786385,-0.828676,0.029915,0.142804,0.4915,surface_outer
0.796834,-0.796834,-0.029509,0.127279,0.509255,surface_outer
0.802378,-0.761428,-0.087056,0.109577,0.52983,surface_outer
0.803098,-0.723113,-0.142274,0.09,0.552799,surface_outer
0.799175,-0.68256,-0.194788,0.068883,0.577691,surface_outer
0.790878,-0.640441,-0.244321,0.046587,0.604001,surface_outer
0.778555,-0.597406,-0.290688,0.023495,0.631198,surface_outer
0.762613,-0.554071,-0.333807,0,0.658735,surface_outer
0.743505,-0.510997,-0.373692,-0.023495,0.686055,surface_inner
0.721706,-0.468682,-0.410455,-0.046587,0.712605,surface_inner
0.6977,-0.427551,-0.444291,-0.068883,0.737844,surface_inner
0.671951,-0.387951,-0.475474,-0.09,0.761249,surface_inner
0.644894,-0.350149,-0.504341,-0.109577,0.78233,surface_inner
0.616911,-0.314332,-0.531279,-0.127279,0.800633,surface_inner
0.588321,-0.280615,-0.556705,-0.142804,0.815752,surface_inner
0.559364,-0.249045,-0.581051,-0.155885,0.827332,surface_inner
0.530198,-0.219615,-0.604746,-0.166298,0.835079,surface_inner
0.500895,-0.192275,-0.628197,-0.173867,0.838763,surface_inner
0.471436,-0.166944,-0.651771,-0.17846,0.838222,surface_inner
0.441721,-0.143524,-0.675783,-0.18,0.833366,surface_inner
0.411577,-0.121915,-0.700478,-0.17846,0.824176,surface_inner
0.380765,-0.102026,-0.72602,-0.173867,0.810709,surface_inner
0.349001,-0.083788,-0.752487,-0.166298,0.793091,surface_inner
0.31597,-0.067162,-0.779861,-0.155885,0.771521,surface_inner
0.281347,-0.052145,-0.808029,-0.142804,0.746264,surface_inner
0.244814,-0.038775,-0.836782,-0.127279,0.717648,surface_inner
0.206087,-0.027132,-0.86582,-0.109577,0.686055,surface_inner
0.164926,-0.017334,-0.894762,-0.09,0.651921,surface_inner
0.121161,-0.009536,-0.923151,-0.068883,0.615724,surface_inner
0.074701,-0.003915,-0.950474,-0.046587,0.577976,surface_inner
0.025553,-0.000669,-0.976171,-0.023495,0.539216,surface_inner
