x,y,z,sdf,value,region
2.899207,0.343772,0.32266,-0.089873,0.503173,twisted_surface
2.949777,0.34316,0.347543,-0.062569,0.232355,twisted_surface
3.025858,0.34388,0.381183,-0.005881,0.046511,twisted_surface
3.11315,0.36222,0.379259,0.041061,0.004648,twisted_surface
3.16569,0.396642,0.323998,0.045854,0.120055,twisted_surface
3.154977,0.429535,0.242922,0.005189,0.356092,twisted_surface
3.102676,0.447655,0.176725,-0.052863,0.637819,twisted_surface
3.058077,0.456847,0.134762,-0.088231,0.875789,twisted_surface
3.045299,0.473475,0.090359,-0.0765,0.994449,twisted_surface
3.040359,0.502594,0.020694,-0.025769,0.956125,twisted_surface
3.003535,0.528745,-0.056901,0.028945,0.772985,twisted_surface
2.928457,0.530832,-0.096569,0.049873,0.503173,twisted_surface
2.850655,0.504472,-0.071686,0.022569,0.232355,twisted_surface
2.806392,0.466376,-0.004083,-0.034119,0.046511,twisted_surface
2.791121,0.435975,0.059169,-0.081061,0.004648,twisted_surface
2.767188,0.415682,0.095015,-0.085854,0.120055,twisted_surface
2.712285,0.392317,0.123597,-0.045189,0.356092,twisted_surface
2.59444,0.526875,0.262664,0.026839,0.703368,twisted_surface
2.593353,0.49279,0.340773,0.049987,0.918034,twisted_surface
2.654669,0.485934,0.399982,0.024825,0.999977,twisted_surface
2.740663,0.505523,0.415431,-0.031279,0.923181,twisted_surface
2.808798,0.530445,0.405917,-0.079598,0.712028,twisted_surface
2.855014,0.541942,0.411978,-0.086777,0.433557,twisted_surface
2.90904,0.543061,0.447577,-0.047861,0.176182,twisted_surface
2.989031,0.552843,0.481479,0.010286,0.021616,twisted_surface
3.070633,0.582523,0.470474,0.047528,0.018934,twisted_surface
3.108425,0.621648,0.406643,0.038157,0.168987,twisted_surface
3.085693,0.65007,0.3248,-0.011359,0.424134,twisted_surface
3.034377,0.661246,0.262664,-0.066839,0.703368,twisted_surface
3.00101,0.669058,0.221001,-0.089987,0.918034,twisted_surface
2.99702,0.689817,0.170141,-0.064825,0.999977,twisted_surface
2.989973,0.720505,0.094142,-0.008721,0.923181,twisted_surface
2.944871,0.739109,0.019208,0.039598,0.712028,twisted_surface
2.866824,0.727383,-0.008821,0.046777,0.433557,twisted_surface
2.795631,0.690255,0.026778,0.007861,0.176182,twisted_surface
2.759591,0.649866,0.094771,-0.050286,0.021616,twisted_surface
2.743749,0.621515,0.149185,-0.087528,0.018934,twisted_surface
2.710581,0.59945,0.176802,-0.078157,0.168987,twisted_surface
2.649118,0.56848,0.205028,-0.028641,0.424134,twisted_surface
2.524089,0.689358,0.345726,0.038033,0.76496,twisted_surface
2.538327,0.661656,0.423605,0.047586,0.952143,twisted_surface
2.607736,0.667682,0.476544,0.010486,0.995774,twisted_surface
2.689436,0.696832,0.487775,-0.047658,0.882,twisted_surface
2.74852,0.72318,0.4837,-0.08671,0.646944,twisted_surface
2.791621,0.733087,0.502296,-0.079714,0.365234,twisted_surface
2.849495,0.738029,0.546628,-0.031499,0.126312,twisted_surface
2.930898,0.758445,0.577799,0.024654,0.006032,twisted_surface
3.003638,0.797991,0.556321,0.049983,0.042584,twisted_surface
3.026466,0.838356,0.484839,0.027004,0.224362,twisted_surface
2.995181,0.860366,0.403714,-0.028421,0.493654,twisted_surface
2.948782,0.866095,0.345726,-0.078033,0.76496,twisted_surface
2.927378,0.875541,0.303222,-0.087586,0.952143,twisted_surface
2.929626,0.901388,0.245529,-0.050486,0.995774,twisted_surface
2.918088,0.931425,0.164845,0.007658,0.882,twisted_surface
2.865411,0.939655,0.095017,0.04671,0.646944,twisted_surface
2.78728,0.913906,0.079348,0.039714,0.365234,twisted_surface
2.724273,0.868543,0.12368,-0.008501,0.126312,twisted_surface
2.694941,0.828082,0.189115,-0.064654,0.006032,twisted_surface
2.676062,0.801108,0.233391,-0.089983,0.042584,twisted_surface
2.633808,0.7747,0.253825,-0.067004,0.224362,twisted_surface
2.569253,0.735095,0.283331,-0.011579,0.493654,twisted_surface
2.442086,0.844163,0.425,0.045778,0.821394,twisted_surface
2.4703,0.826215,0.501682,0.041169,0.977451,twisted_surface
2.54378,0.845379,0.548483,-0.005664,0.981921,twisted_surface
2.618308,0.881372,0.557537,-0.062393,0.833385,twisted_surface
2.668622,0.906742,0.561169,-0.089859,0.579001,twisted_surface
2.710172,0.915533,0.592378,-0.069103,0.299535,twisted_surface
2.771492,0.926563,0.642945,-0.014453,0.083715,twisted_surface
2.851401,0.958325,0.668502,0.036369,0.000063,twisted_surface
2.912852,1.005349,0.635724,0.04828,0.075137,twisted_surface
2.921796,1.043662,0.557945,0.013059,0.285103,twisted_surface
2.885961,1.058509,0.478993,-0.044982,0.563296,twisted_surface
2.847632,1.061262,0.425,-0.085778,0.821394,twisted_surface
2.837692,1.075106,0.380537,-0.081169,0.977451,twisted_surface
2.843255,1.105897,0.316008,-0.034336,0.981921,twisted_surface
2.825602,1.132413,0.232565,0.022393,0.833385,twisted_surface
2.766944,1.127967,0.170027,0.049859,0.579001,twisted_surface
2.691555,1.08902,0.166755,0.029103,0.299535,twisted_surface
2.637444,1.038258,0.217321,-0.025547,0.083715,twisted_surface
2.612782,0.999178,0.27736,-0.076369,0.000063,twisted_surface
2.588994,0.972051,0.310751,-0.08828,0.075137,twisted_surface
2.538936,0.938909,0.32547,-0.053059,0.285103,twisted_surface
2.475116,0.890789,0.357848,0.004982,0.563296,twisted_surface
2.349655,0.991026,0.499617,0.049617,0.871572,twisted_surface
2.389305,0.985412,0.574197,0.031119,0.993466,twisted_surface
2.462777,1.016687,0.615354,-0.022665,0.958688,twisted_surface
2.52815,1.05634,0.624436,-0.074609,0.77828,twisted_surface
2.570644,1.078978,0.637646,-0.088858,0.509519,twisted_surface
2.611885,1.087905,0.680836,-0.055576,0.237737,twisted_surface
2.675472,1.107116,0.734747,0.002264,0.049221,twisted_surface
2.750924,1.149942,0.752077,0.044735,0.003824,twisted_surface
2.799673,1.20144,0.707793,0.042521,0.11596,twisted_surface
2.796965,1.235003,0.625442,-0.00285,0.350025,twisted_surface
2.760654,1.243208,0.550008,-0.060059,0.631707,twisted_surface
2.732473,1.246074,0.499617,-0.089617,0.871572,twisted_surface
2.732432,1.266429,0.452161,-0.071119,0.993466,twisted_surface
2.738416,1.300905,0.381168,-0.017335,0.958688,twisted_surface
2.713969,1.320734,0.297073,0.034609,0.77828,twisted_surface
2.651589,1.302128,0.243626,0.048858,0.509519,twisted_surface
2.581399,1.251734,0.252081,0.015576,0.237737,twisted_surface
2.536025,1.198351,0.305992,-0.042264,0.049221,twisted_surface
2.513812,1.16119,0.358057,-0.084735,0.003824,twisted_surface
2.484107,1.131791,0.380429,-0.082521,0.11596,twisted_surface
2.428509,1.0901,0.391256,-0.03715,0.350025,twisted_surface
2.369158,1.03479,0.427972,0.020059,0.631707,twisted_surface
2.24774,1.129768,0.568761,0.049319,0.914519,twisted_surface
2.295408,1.137948,0.640449,0.018032,0.999877,twisted_surface
2.365142,1.17915,0.676797,-0.039508,0.926527,twisted_surface
2.420346,1.219196,0.68816,-0.083582,0.717758,twisted_surface
2.456365,1.238183,0.712313,-0.083766,0.439853,twisted_surface
2.497993,1.249064,0.766155,-0.039934,0.181044,twisted_surface
2.562042,1.278061,0.820273,0.017658,0.023501,twisted_surface
2.63038,1.330688,0.827184,0.049256,0.017243,twisted_surface
2.666179,1.383415,0.771838,0.033048,0.164257,twisted_surface
2.654899,1.41047,0.686923,-0.019778,0.417867,twisted_surface
2.621803,1.413744,0.616167,-0.072757,0.697554,twisted_surface
2.604623,1.419998,0.568761,-0.089319,0.914519,twisted_surface
2.612141,1.448018,0.517417,-0.058032,0.999877,twisted_surface
2.616063,1.483939,0.4407,-0.000492,0.926527,twisted_surface
2.585129,1.494013,0.358127,0.043582,0.717758,twisted_surface
2.521659,1.460763,0.315079,0.043766,0.439853,twisted_surface
2.458507,1.401375,0.333903,-0.000066,0.181044,twisted_surface
2.420977,1.347764,0.388021,-0.057658,0.023501,twisted_surface
2.399164,1.312136,0.42995,-0.089256,0.017243,twisted_surface
2.363543,1.27811,0.441804,-0.073048,0.164257,twisted_surface
2.305361,1.226944,0.450827,-0.020222,0.417867,twisted_surface
2.253681,1.166865,0.493135,0.032757,0.697554,twisted_surface
2.137036,1.260169,0.631673,0.044903,0.949397,twisted_surface
2.188831,1.282293,0.699843,0.002685,0.996558,twisted_surface
2.251772,1.330333,0.732527,-0.055192,0.886064,twisted_surface
2.296702,1.367794,0.748349,-0.088777,0.652999,twisted_surface
2.327686,1.383106,0.784206,-0.074886,0.371357,twisted_surface
2.369731,1.398034,0.846729,-0.023109,0.130558,twisted_surface
2.432054,1.437695,0.897839,0.030814,0.007055,twisted_surface
2.491264,1.498029,0.892693,0.049662,0.040058,twisted_surface
2.515018,1.548915,0.827376,0.020423,0.21909,twisted_surface
2.498698,1.568859,0.742091,-0.036719,0.487308,twisted_surface
2.47173,1.569862,0.67691,-0.08232,0.759556,twisted_surface
2.465194,1.582523,0.631673,-0.084903,0.949397,twisted_surface
2.477526,1.61823,0.575743,-0.042685,0.996558,twisted_surface
2.477616,1.652639,0.494381,0.015192,0.886064,twisted_surface
2.441398,1.650356,0.415451,0.048777,0.652999,twisted_surface
2.379513,1.603032,0.383524,0.034886,0.371357,twisted_surface
2.324489,1.537508,0.410724,-0.016891,0.130558,twisted_surface
2.293409,1.485418,0.461835,-0.070814,0.007055,twisted_surface
2.270448,1.450134,0.492011,-0.089662,0.040058,twisted_surface
2.22992,1.409282,0.494477,-0.060423,0.21909,twisted_surface
2.172415,1.348801,0.503945,-0.003281,0.487308,twisted_surface
2.130696,1.287206,0.55281,0.04232,0.759556,twisted_surface
2.018062,1.381871,0.687664,0.036631,0.975528,twisted_surface
2.070049,1.416744,0.751896,-0.01401,0.983573,twisted_surface
2.124038,1.467978,0.782314,-0.068786,0.838087,twisted_surface
2.159318,1.500473,0.804567,-0.089886,0.585261,twisted_surface
2.186522,1.51291,0.852221,-0.062745,0.305365,twisted_surface
2.228357,1.533943,0.920896,-0.006099,0.087264,twisted_surface
2.286698,1.58429,0.965888,0.040952,0.000204,twisted_surface
2.335645,1.649669,0.947722,0.045929,0.071825,twisted_surface
2.34925,1.696205,0.874134,0.005397,0.279389,twisted_surface
2.331428,1.709654,0.790733,-0.052667,0.556996,twisted_surface
2.312446,1.711641,0.731708,-0.088181,0.816506,twisted_surface
2.315151,1.733067,0.687664,-0.076631,0.975528,twisted_surface
2.329555,1.775327,0.626694,-0.02599,0.983573,twisted_surface
2.324937,1.804897,0.542053,0.028786,0.838087,twisted_surface
2.285335,1.788434,0.468712,0.049886,0.585261,twisted_surface
2.227447,1.728583,0.44798,0.022745,0.305365,twisted_surface
2.180875,1.659856,0.481019,-0.033901,0.087264,twisted_surface
2.154657,1.610242,0.526012,-0.080952,0.000204,twisted_surface
2.12974,1.573558,0.543482,-0.085929,0.071825,twisted_surface
2.086163,1.524197,0.53828,-0.045397,0.279389,twisted_surface
2.032474,1.455684,0.550472,0.012667,0.556996,twisted_surface
2.001842,1.396285,0.606506,0.048181,0.816506,twisted_surface
1.891258,1.49432,0.736122,0.024995,0.992404,twisted_surface
1.93987,1.539526,0.796231,-0.03106,0.961177,twisted_surface
1.98373,1.590137,0.825961,-0.079481,0.78353,twisted_surface
2.010466,1.616096,0.856283,-0.086843,0.515864,twisted_surface
2.034741,1.627113,0.915124,-0.048065,0.243161,twisted_surface
2.075204,1.655984,0.986996,0.010086,0.052003,twisted_surface
2.127566,1.716179,1.023055,0.047469,0.003081,twisted_surface
2.166106,1.783714,0.991664,0.03828,0.111927,twisted_surface
2.172151,1.824259,0.912038,-0.011139,0.343983,twisted_surface
2.155936,1.832949,0.832708,-0.066674,0.625574,twisted_surface
2.14561,1.83934,0.780052,-0.089991,0.867296,twisted_surface
2.155404,1.870919,0.736122,-0.064995,0.992404,twisted_surface
2.16951,1.917567,0.669939,-0.00894,0.961177,twisted_surface
2.16026,1.938995,0.583607,0.039481,0.78353,twisted_surface
2.119584,1.907508,0.517503,0.046843,0.515864,twisted_surface
2.067608,1.837469,0.507363,0.008065,0.243161,twisted_surface
2.029157,1.768245,0.543288,-0.050086,0.052003,twisted_surface
2.006334,1.721248,0.579347,-0.087469,0.003081,twisted_surface
1.979513,1.681181,0.583902,-0.07828,0.111927,twisted_surface
1.935312,1.622431,0.573258,-0.028861,0.343983,twisted_surface
1.888038,1.548176,0.590354,0.026674,0.625574,twisted_surface
1.868357,1.494694,0.653759,0.049991,0.867296,twisted_surface
1.757099,1.596757,0.776514,0.010686,0.999695,twisted_surface
1.79947,1.648907,0.832575,-0.047453,0.929805,twisted_surface
1.832958,1.695298,0.86328,-0.086642,0.723454,twisted_surface
1.852454,1.714053,0.90286,-0.079829,0.446158,twisted_surface
1.874135,1.725515,0.971581,-0.031718,0.185957,twisted_surface
1.911745,1.763407,1.043429,0.024483,0.025462,twisted_surface
1.956669,1.831875,1.06822,0.049977,0.01563,twisted_surface
1.98562,1.898812,1.024205,0.027168,0.159581,twisted_surface
1.987001,1.932772,0.941193,-0.0282,0.411614,twisted_surface
1.974705,1.939315,0.867919,-0.077908,0.691708,twisted_surface
1.972557,1.95326,0.821451,-0.087643,0.910936,twisted_surface
1.986911,1.995237,0.776514,-0.050686,0.999695,twisted_surface
1.99902,2.04333,0.705255,0.007453,0.929805,twisted_surface
1.98608,2.053709,0.618955,0.046642,0.723454,twisted_surface
1.946744,2.007417,0.561324,0.039829,0.446158,twisted_surface
1.901953,1.930064,0.560503,-0.008282,0.185957,twisted_surface
1.870838,1.862571,0.596111,-0.064483,0.025462,twisted_surface
1.85035,1.81762,0.620903,-0.089977,0.01563,twisted_surface
1.822503,1.772292,0.613126,-0.067168,0.159581,twisted_surface
1.780301,1.704238,0.599657,-0.0118,0.411614,twisted_surface
1.741167,1.627281,0.623594,0.037908,0.691708,twisted_surface
1.731102,1.583005,0.694131,0.047643,0.910936,twisted_surface
1.616199,1.688251,0.808398,-0.005446,0.997261,twisted_surface
1.650383,1.743339,0.860743,-0.062216,0.890066,twisted_surface
1.674034,1.782453,0.894068,-0.089845,0.659028,twisted_surface
1.687533,1.79422,0.943546,-0.069261,0.3775,twisted_surface
1.70643,1.808134,1.020193,-0.014674,0.134865,twisted_surface
1.739654,1.855554,1.088724,0.036237,0.008157,twisted_surface
1.776415,1.930204,1.100566,0.048329,0.037606,twisted_surface
1.797374,1.994253,1.045329,0.013255,0.213862,twisted_surface
1.796873,2.022115,0.961856,-0.044774,0.480965,twisted_surface
1.789777,2.029645,0.896284,-0.085702,0.754111,twisted_surface
1.794361,2.053629,0.85543,-0.081277,0.946579,twisted_surface
1.810766,2.105077,0.808398,-0.034554,0.997261,twisted_surface
1.820032,2.151233,0.732517,0.022216,0.890066,twisted_surface
1.80502,2.14837,0.648005,0.049845,0.659028,twisted_surface
1.769245,2.088516,0.599579,0.029261,0.3775,twisted_surface
1.732249,2.006966,0.60619,-0.025326,0.134865,twisted_surface
1.707488,1.942814,0.638223,-0.076237,0.008157,twisted_surface
1.68887,1.898823,0.650065,-0.088329,0.037606,twisted_surface
1.661542,1.846774,0.631326,-0.053255,0.213862,twisted_surface
1.623757,1.770485,0.61789,0.004774,0.480965,twisted_surface
1.593404,1.694249,0.650221,0.045702,0.754111,twisted_surface
1.590639,1.66164,0.727204,0.041277,0.946579,twisted_surface
1.469391,1.767784,0.831425,-0.022443,0.985148,twisted_surface
1.494453,1.821575,0.880631,-0.07447,0.842736,twisted_surface
1.509342,1.851144,0.918088,-0.088898,0.591508,twisted_surface
1.517816,1.856904,0.977483,-0.055767,0.311227,twisted_surface
1.533315,1.875163,1.059554,0.002053,0.09088,twisted_surface
1.560844,1.931922,1.121618,0.04465,0.000425,twisted_surface
1.589523,2.010425,1.119619,0.042621,0.068583,twisted_surface
1.604574,2.070008,1.055311,-0.002635,0.273712,twisted_surface
1.604462,2.09322,0.974392,-0.059877,0.550686,twisted_surface
1.602728,2.104982,0.917714,-0.089593,0.811568,twisted_surface
1.611942,2.140534,0.881528,-0.07127,0.973529,twisted_surface
1.628275,2.199473,0.831425,-0.017557,0.985148,twisted_surface
1.634752,2.24025,0.751682,0.03447,0.842736,twisted_surface
1.619692,2.222884,0.670637,0.048898,0.591508,twisted_surface
1.589275,2.151594,0.631577,0.015767,0.311227,twisted_surface
1.560096,2.06893,0.643217,-0.042053,0.09088,twisted_surface
1.540776,2.009066,0.668577,-0.08465,0.000425,twisted_surface
1.524232,1.964697,0.666578,-0.082621,0.068583,twisted_surface
1.499349,1.905114,0.638973,-0.037365,0.273712,twisted_surface
1.467828,1.822518,0.628486,0.019877,0.550686,twisted_surface
1.445754,1.750402,0.670263,0.049593,0.811568,twisted_surface
1.447346,1.730802,0.752579,0.03127,0.973529,twisted_surface
1.31777,1.834347,0.845344,-0.039295,0.963592,twisted_surface
1.333737,1.882778,0.892193,-0.083488,0.788735,twisted_surface
1.341218,1.901456,0.935048,-0.083858,0.522206,twisted_surface
1.34525,1.902767,1.00373,-0.040147,0.248627,twisted_surface
1.35649,1.926953,1.088322,0.01747,0.054857,twisted_surface
1.377464,1.992249,1.14113,0.049223,0.002417,twisted_surface
1.398881,2.072324,1.125283,0.033192,0.107956,twisted_surface
1.410229,2.126699,1.054686,-0.019556,0.337966,twisted_surface
1.411964,2.147427,0.979229,-0.07261,0.619421,twisted_surface
1.414712,2.166366,0.932083,-0.089349,0.86296,twisted_surface
1.426177,2.213897,0.899304,-0.058218,0.991262,twisted_surface
1.440989,2.277536,0.845344,-0.000705,0.963592,twisted_surface
1.44555,2.309799,0.762768,0.043488,0.788735,twisted_surface
1.432567,2.277713,0.686682,0.043858,0.522206,twisted_surface
1.408734,2.197779,0.656545,0.000147,0.248627,twisted_surface
1.386967,2.116819,0.670444,-0.05747,0.054857,twisted_surface
1.372464,2.061587,0.686413,-0.089223,0.002417,twisted_surface
1.358809,2.015518,0.670567,-0.073192,0.107956,twisted_surface
1.338332,1.94835,0.636808,-0.020444,0.337966,twisted_surface
1.314066,1.861984,0.632043,0.03261,0.619421,twisted_surface
1.298744,1.796954,0.683717,0.049349,0.86296,twisted_surface
1.301535,1.790444,0.769878,0.018218,0.991262,twisted_surface
1.162693,1.887063,0.85,-0.055,0.933013,twisted_surface
1.170397,1.926587,0.895434,-0.088735,0.729113,twisted_surface
1.171838,1.933981,0.944599,-0.075024,0.452472,twisted_surface
1.171602,1.932766,1.021305,-0.023331,0.190921,twisted_surface
1.177694,1.964024,1.105298,0.030661,0.0275,twisted_surface
1.191841,2.036599,1.146633,0.049683,0.014094,twisted_surface
1.207368,2.116261,1.117849,0.020604,0.15496,twisted_surface
1.216968,2.165512,1.044203,-0.036503,0.405374,twisted_surface
1.221021,2.186305,0.976801,-0.082218,0.685831,twisted_surface
1.226558,2.214716,0.939213,-0.084986,0.907288,twisted_surface
1.238018,2.273506,0.908348,-0.042895,0.999434,twisted_surface
1.250699,2.338566,0.85,0.015,0.933013,twisted_surface
1.254838,2.3598,0.765837,0.048735,0.729113,twisted_surface
1.245873,2.313809,0.695905,0.035024,0.452472,twisted_surface
1.229233,2.228438,0.67366,-0.016669,0.190921,twisted_surface
1.214253,2.151585,0.686868,-0.070661,0.0275,twisted_surface
1.204365,2.100855,0.691315,-0.089683,0.014094,twisted_surface
1.194843,2.052005,0.662532,-0.060604,0.15496,twisted_surface
1.180409,1.977951,0.625773,-0.003497,0.405374,twisted_surface
1.163389,1.890633,0.629156,0.042218,0.685831,twisted_surface
1.152523,1.834887,0.690519,0.044986,0.907288,twisted_surface
1.153577,1.840292,0.778751,0.002895,0.999434,twisted_surface
1.005737,1.925297,0.845344,-0.068626,0.894005,twisted_surface
1.006572,1.953147,0.890385,-0.089898,0.665033,twisted_surface
1.003149,1.949759,0.946341,-0.062921,0.383663,twisted_surface
0.998472,1.948095,1.029242,-0.006316,0.13923,twisted_surface
0.998711,1.987092,1.109523,0.040843,0.009338,twisted_surface
1.006374,2.065427,1.137913,0.046003,0.035229,twisted_surface
1.017658,2.143143,1.097981,0.005603,0.208681,twisted_surface
1.026889,2.188054,1.024765,-0.05247,0.474624,twisted_surface
1.032736,2.211477,0.967501,-0.08813,0.748625,twisted_surface
1.038896,2.250762,0.938869,-0.076761,0.943688,twisted_surface
1.048571,2.319086,0.908301,-0.026212,0.997884,twisted_surface
1.059381,2.382158,0.845344,0.028626,0.894005,twisted_surface
1.064944,2.390692,0.760974,0.049898,0.665033,twisted_surface
1.06152,2.33254,0.698004,0.022921,0.383663,twisted_surface
1.052114,2.245102,0.682098,-0.033684,0.13923,twisted_surface
1.043277,2.174262,0.691694,-0.080843,0.009338,twisted_surface
1.038254,2.127598,0.68325,-0.086003,0.035229,twisted_surface
1.03427,2.075278,0.643319,-0.045603,0.208681,twisted_surface
1.026887,1.995651,0.606936,0.01247,0.474624,twisted_surface
1.01612,1.910123,0.620356,0.04813,0.748625,twisted_surface
1.007012,1.864871,0.690532,0.036761,0.943688,twisted_surface
1.004002,1.879921,0.778891,-0.013788,0.997884,twisted_surface
0.848616,1.948749,0.831425,-0.079363,0.847329,twisted_surface
0.844256,1.96311,0.877101,-0.086909,0.59774,twisted_surface
0.836812,1.950206,0.939843,-0.048268,0.317119,twisted_surface
0.827304,1.950149,1.026669,0.009885,0.094561,twisted_surface
0.821332,1.997101,1.100355,0.047409,0.000727,twisted_surface
0.823386,2.079596,1.1152,0.038403,0.065409,twisted_surface
0.832034,2.154354,1.066671,-0.010918,0.268071,twisted_surface
0.841488,2.196175,0.997346,-0.066508,0.544368,twisted_surface
0.847755,2.22448,0.951633,-0.089994,0.806579,twisted_surface
0.852295,2.275039,0.930762,-0.065165,0.971453,twisted_surface
0.859147,2.3504,0.898876,-0.009159,0.986644,twisted_surface
0.869113,2.408292,0.831425,0.039363,0.847329,twisted_surface
0.877998,2.40341,0.748272,0.046909,0.59774,twisted_surface
0.881065,2.335593,0.692623,0.008268,0.317119,twisted_surface
0.878484,2.249401,0.681085,-0.049885,0.094561,twisted_surface
0.875291,2.185975,0.684405,-0.087409,0.000727,twisted_surface
0.875754,2.14279,0.662582,-0.078403,0.065409,twisted_surface
0.878567,2.086748,0.614052,-0.029082,0.268071,twisted_surface
0.878418,2.003247,0.581396,0.026508,0.544368,twisted_surface
0.872089,1.921859,0.606049,0.049994,0.806579,twisted_surface
0.862061,1.887242,0.683542,0.025165,0.971453,twisted_surface
0.853555,1.908845,0.770047,-0.030841,0.986644,twisted_surface
0.693068,1.957516,0.808398,-0.086574,0.793893,twisted_surface
0.685188,1.957585,0.855656,-0.079944,0.528544,twisted_surface
0.674176,1.937034,0.924688,-0.031937,0.254134,twisted_surface
0.659388,1.940489,1.012888,0.024311,0.057784,twisted_surface
0.647286,1.995235,1.077549,0.049971,0.001834,twisted_surface
0.644959,2.080348,1.079173,0.027332,0.104049,twisted_surface
0.65224,2.15161,1.025169,-0.027979,0.331975,twisted_surface
0.661647,2.191793,0.962921,-0.077783,0.613248,twisted_surface
0.666395,2.22666,0.929387,-0.0877,0.858566,twisted_surface
0.667383,2.287924,0.914583,-0.050885,0.990041,twisted_surface
0.671248,2.367363,0.879887,0.007249,0.965932,twisted_surface
0.681957,2.417382,0.808398,0.046574,0.793893,twisted_surface
0.695826,2.399337,0.727823,0.039944,0.528544,twisted_surface
0.705701,2.324885,0.679377,-0.008063,0.254134,twisted_surface
0.709247,2.243017,0.669973,-0.064311,0.057784,twisted_surface
0.711438,2.187932,0.664812,-0.089971,0.001834,twisted_surface
0.718208,2.147601,0.63005,-0.067332,0.104049,twisted_surface
0.728651,2.087972,0.576046,-0.012021,0.331975,twisted_surface
0.73503,2.00242,0.550183,0.037783,0.613248,twisted_surface
0.730805,1.926893,0.586472,0.0477,0.858566,twisted_surface
0.717602,1.902048,0.669272,0.010885,0.990041,twisted_surface
0.703207,1.92664,0.752054,-0.047249,0.965932,twisted_surface
0.540736,1.952114,0.776514,-0.089829,0.734736,twisted_surface
0.530769,1.938076,0.826147,-0.069419,0.458794,twisted_surface
0.516269,1.912168,0.900516,-0.014895,0.195934,twisted_surface
0.495844,1.92081,0.987455,0.036104,0.029613,twisted_surface
0.47813,1.982889,1.041297,0.048377,0.012637,twisted_surface
0.472771,2.069212,1.030912,0.01345,0.150395,twisted_surface
0.479402,2.136798,0.974889,-0.044567,0.39915,twisted_surface
0.487706,2.176742,0.922382,-0.085625,0.679924,twisted_surface
0.488793,2.219143,0.900832,-0.081384,0.903574,twisted_surface
0.484933,2.289721,0.890033,-0.034771,0.999091,twisted_surface
